material_id,predict_Band_gap_HSE
mp-656850,2.180721311
mp-680395,2.006951692
mp-707327,2.889459281
mp-752747,2.681399814
mp-756578,2.856599269
mp-760065,1.984313681
mp-761224,2.828185608
mp-762932,2.293371794
mp-764417,1.840176436
mp-764874,2.590976117
mp-765142,2.936652164
mp-768641,1.880718386
mp-770900,2.467316231
mp-774390,2.137083533
mp-774994,2.707066428
mp-775173,2.404520992
mp-776403,2.280262264
mp-996956,2.092028603
mvc-12777,2.400911
mvc-3950,1.986058319
mvc-5746,2.228547642
mvc-6052,2.036321592
mvc-654,2.144074003
mp-1038118,2.884221458
mp-1080371,1.720366447
mp-1097724,2.472837969
mp-1147547,2.270136994
mp-1174332,1.943520256
mp-1175376,2.346580556
mp-1176283,2.822655028
mp-1177499,1.748793014
mp-1177591,1.780775497
mp-1177780,2.991329569
mp-1182662,1.960855786
mp-1189986,1.757376539
mp-1195337,2.638763867
mp-1197103,2.811198008
mp-1198754,1.938347481
mp-1199395,2.499733875
mp-1202773,2.151572936
mp-1204034,1.883845419
mp-1204616,1.991573728
mp-1208114,2.033391042
mp-1218297,2.029919419
mp-1223324,2.835074658
mp-1223392,2.670619831
mp-12264,2.525541396
mp-1232075,2.675744064
mp-1232129,2.720523492
mp-1244721,2.206490128
mp-1244943,2.139582678
mp-1252320,2.893622381
mp-1273504,2.450736964
mp-1726,2.453620933
mp-23020,2.324915831
mp-23154,2.431965311
mp-23431,2.911158075
mp-28701,2.665386944
mp-557719,2.848025736
mp-561620,2.599996636
mp-571637,2.057865192
mp-581167,2.259792281
mp-650121,1.924810492
mp-667349,2.846508808
mp-674480,1.829385736
mp-7017,2.096636225
mp-7502,2.010862472
mp-754230,2.101166444
mp-755489,1.923054258
mp-755542,1.791621147
mp-756979,1.813132856
mp-757112,2.125905928
mp-760106,2.114130947
mp-764152,2.142375086
mp-764318,2.877182742
mp-766391,2.88293405
mp-766490,1.938493403
mp-768674,2.309187442
mp-776075,1.753882822
mp-777270,2.358956342
mp-849351,1.754854592
mp-849384,2.041429644
mp-849482,2.213670608
mp-851254,1.897308586
mp-867599,2.206454501
mp-8966,2.162057058
mp-9712,2.413195097
